task,method,available,sampled,status,model,candidate_rows,csvs,note
VD,CARROT,,,,CodeBERT,238,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeBERT__VulnerabilityDetection__attack__result/attack_carrot_all.csv,
VD,CARROT,,,,CodeGPT,337,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeGPT__VulnerabilityDdetection__attack__result/attack_carrot_all.csv,
VD,CARROT,,,,CodeT5,383,evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeT5__VulnerabilityDetection__attack__result/attack_carrot_all.csv,
VD,ALERT,3796,10,ok,,,,
VD,ALERT,,,,CodeBERT,1270,CodeBERT/VulnerabilityDetection/attack/result/attack_alert_parseable2106_full_20260608_AEST.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeBERT__VulnerabilityDetection__attack__result/attack_alert_all.csv,
VD,ALERT,,,,CodeGPT,1271,CodeGPT/VulnerabilityDdetection/attack/result/attack_alert_parseable2106_full_20260608_AEST.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeGPT__VulnerabilityDdetection__attack__result/attack_alert_all.csv,
VD,ALERT,,,,CodeT5,2457,CodeT5/VulnerabilityDetection/attack/result/attack_alert_parseable2106_full_20260608_AEST.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeT5__VulnerabilityDetection__attack__result/attack_alert_all.csv,
VD,CODA,12036,10,ok,,,,
VD,CODA,,,,CodeBERT,4246,CodeBERT/VulnerabilityDetection/attack/result/attack_coda_parseable2106_full_20260608_AEST.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeBERT__VulnerabilityDetection__attack__result/attack_coda_all.csv,
VD,CODA,,,,CodeGPT,3169,CodeGPT/VulnerabilityDdetection/attack/result/attack_coda_parseable2106_full_20260608_AEST.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeGPT__VulnerabilityDdetection__attack__result/attack_coda_all.csv;CodeGPT/VulnerabilityDdetection/attack/result/attack_coda_parseable2106_repl_20260608_AEST.csv,
VD,CODA,,,,CodeT5,4735,CodeT5/VulnerabilityDetection/attack/result/attack_coda_parseable2106_full_20260608_AEST.csv;evaluation/result/archive_before_cd_vd_rerun_20260607_112251_AEST/CodeT5__VulnerabilityDetection__attack__result/attack_coda_all.csv,
AA,MHM,2675,10,ok,,,,
AA,MHM,,,,CodeBERT,639,evaluation/result/python_aa/attacks/python_aa_codebert_mhm_all.csv;evaluation/result/adapted_attacks/adapted_codebert_aa_mhm_all.csv,
AA,MHM,,,,CodeGPT,744,evaluation/result/python_aa/attacks/python_aa_codegpt_mhm_all.csv;evaluation/result/adapted_attacks/adapted_codegpt_aa_mhm_all.csv,
AA,MHM,,,,CodeT5,1292,evaluation/result/python_aa/attacks/python_aa_codet5_mhm_all.csv;evaluation/result/adapted_attacks/adapted_codet5_aa_mhm_all.csv,
AA,CARROT,2610,10,ok,,,,
AA,CARROT,,,,CodeBERT,634,evaluation/result/python_aa/real_tools/python_aa_codebert_carrot_real_all.csv;evaluation/result/python_aa/attacks/python_aa_codebert_carrot_all.csv;evaluation/result/adapted_attacks/adapted_codebert_aa_carrot_all.csv,
AA,CARROT,,,,CodeGPT,719,evaluation/result/python_aa/real_tools/python_aa_codegpt_carrot_real_all.csv;evaluation/result/python_aa/attacks/python_aa_codegpt_carrot_all.csv;evaluation/result/adapted_attacks/adapted_codegpt_aa_carrot_all.csv,
AA,CARROT,,,,CodeT5,1257,evaluation/result/python_aa/real_tools/python_aa_codet5_carrot_real_all.csv;evaluation/result/python_aa/attacks/python_aa_codet5_carrot_all.csv;evaluation/result/adapted_attacks/adapted_codet5_aa_carrot_all.csv,
AA,ALERT,274,10,ok,,,,
AA,ALERT,,,,CodeBERT,111,evaluation/result/python_aa/real_tools/python_aa_codebert_alert_real_all.csv;evaluation/result/python_aa/attacks/python_aa_codebert_alert_all.csv,
AA,ALERT,,,,CodeGPT,58,evaluation/result/python_aa/attacks/python_aa_codegpt_alert_all.csv,
AA,ALERT,,,,CodeT5,105,evaluation/result/python_aa/attacks/python_aa_codet5_alert_all.csv,
AA,BeamAttack,228,10,ok,,,,
AA,BeamAttack,,,,CodeBERT,79,evaluation/result/python_aa/attacks/python_aa_codebert_beam_all.csv,
AA,BeamAttack,,,,CodeGPT,56,evaluation/result/python_aa/attacks/python_aa_codegpt_beam_all.csv,
AA,BeamAttack,,,,CodeT5,93,evaluation/result/python_aa/attacks/python_aa_codet5_beam_all.csv,
AA,CODA,245,10,ok,,,,
AA,CODA,,,,CodeBERT,82,evaluation/result/python_aa/attacks/python_aa_codebert_coda_all.csv,
AA,CODA,,,,CodeGPT,58,evaluation/result/python_aa/attacks/python_aa_codegpt_coda_all.csv,
AA,CODA,,,,CodeT5,105,evaluation/result/python_aa/attacks/python_aa_codet5_coda_all.csv,
AA,ITGen,178,10,ok,,,,
AA,ITGen,,,,CodeBERT,63,evaluation/result/python_aa/attacks/python_aa_codebert_itgen_all.csv,
AA,ITGen,,,,CodeGPT,45,evaluation/result/python_aa/attacks/python_aa_codegpt_itgen_all.csv,
AA,ITGen,,,,CodeT5,70,evaluation/result/python_aa/attacks/python_aa_codet5_itgen_all.csv,
CS,MHM,0,10,fallback,,,,filled from poorer CS CARROT/ALERT/BeamAttack samples; original CS-MHM CSVs are empty
CS,MHM,,,,CodeBERT,0,evaluation/result/cs_mhm_carrot_20260608_AEST/codebert_cs_mhm_20260608_AEST.csv,
CS,MHM,,,,CodeGPT,0,evaluation/result/cs_mhm_carrot_20260608_AEST/codegpt_cs_mhm_20260608_AEST.csv,
CS,MHM,,,,CodeT5,0,evaluation/result/cs_mhm_carrot_20260608_AEST/codet5_cs_mhm_20260608_AEST.csv,
CS,CARROT,730,10,ok,,,,
CS,CARROT,,,,CodeBERT,1460,CodeBERT/CodeSummarization/attack/result/attack_carrot_style_all.csv;evaluation/result/cs_mhm_carrot_20260608_AEST/codebert_cs_carrot_20260608_AEST.csv;CodeBERT/CodeSummarization/attack/result/attack_carrot_style_part0.csv;CodeBERT/CodeSummarization/attack/result/attack_carrot_style_part1.csv,
CS,CARROT,,,,CodeGPT,0,evaluation/result/cs_mhm_carrot_20260608_AEST/codegpt_cs_carrot_20260608_AEST.csv,
CS,CARROT,,,,CodeT5,0,evaluation/result/cs_mhm_carrot_20260608_AEST/codet5_cs_carrot_20260608_AEST.csv,
CS,ALERT,2967,10,ok,,,,
CS,ALERT,,,,CodeBERT,248,CodeBERT/CodeSummarization/attack/result/attack_alert_all.csv,
CS,ALERT,,,,CodeGPT,1542,CodeGPT/CodeSummarization/attack/result/attack_alert_all.csv,
CS,ALERT,,,,CodeT5,1718,CodeT5/CodeSummarization/attack/result/attack_alert_all.csv,
CS,BeamAttack,2351,10,ok,,,,
CS,BeamAttack,,,,CodeBERT,17,CodeBERT/CodeSummarization/attack/result/attack_beam_all.csv,
CS,BeamAttack,,,,CodeGPT,1060,CodeGPT/CodeSummarization/attack/result/attack_beam_all.csv,
CS,BeamAttack,,,,CodeT5,2459,CodeT5/CodeSummarization/attack/result/attack_beam_all.csv,
